condition,stim_transcript,filename,list
sentence,"Sometimes I even think I'm down South again, that's a fact.",sentence_134.wav,3
sentence,There is no parade and there never has been.,sentence_111.wav,3
sentence,No one here asked him what school he had attended.,sentence_47.wav,3
sentence,I think he would be a good fit.,sentence_76.wav,3
sentence,Stir this well and then put to one side.,sentence_183.wav,3
sentence,Her left arm looked like the front window of Tiffany's.,sentence_132.wav,3
nonword,skauge cre bune ro cump lainter smasp cre vag ure quaben hien,nonword_14.wav,3
sentence,The central space was used to observe the rising of the sun and full moon.,sentence_147.wav,3
sentence,"Something intelligible, something metaphysical is communicated by these colors.",sentence_192.wav,3
sentence,I know that a transaction of this magnitude would make anyone apprehensive and worried.,sentence_125.wav,3
sentence,Once you have met Nigel you will not want to work with anyone else.,sentence_11.wav,3
sentence,This shop is by far the best I have been to.,sentence_174.wav,3
sentence,Thank you all for your participation.,sentence_112.wav,3
sentence,"And yes, I am being melodramatic.",sentence_102.wav,3
sentence,"Camp, cook, sleep, strike camp, march.",sentence_182.wav,3
sentence,So in a way people often don't know how to combine the two fields.,sentence_85.wav,3
sentence,"Oh, not quite... I must have had hundreds of cups of coffee.",sentence_157.wav,3
sentence_repeat,My self-esteem is a jigsaw I cannot complete.,sentence_83.wav,3
sentence_repeat,She handed me a shirt she bought at the stadium and she gave me a big hug.,sentence_32.wav,3
sentence,"Still, the city is a modern city with modern utilities.",sentence_131.wav,4
sentence,"In fact, he can not even vouch for the accuracy of the translation itself.",sentence_9.wav,4
sentence,"The next day, no one could find my wheel lock and that particular technician was not in.",sentence_5.wav,4
sentence,"A narrow road, and on the slopes acres and acres of stone.",sentence_178.wav,4
sentence,These products should be available at your local gardening or home improvement center.,sentence_98.wav,4
sentence,I haven't even changed the wording after I first put it down.,sentence_169.wav,4
sentence,"A wonderful place, if you want more than just the physical side of yoga.",sentence_168.wav,4
sentence,A tall Puerto Rican man in a white cardboard chef's hat stood behind the counter.,sentence_184.wav,4
sentence,I recently traveled to Canada on business and had a most excellent experience.,sentence_28.wav,4
sentence,My parents' house was so clean it made me ill.,sentence_25.wav,4
nonword,pudder cre bapp condist phody solys cre fo veff im nipe lozers,nonword_7.wav,4
sentence,"I have a fax machine at home, though, if you prefer.",sentence_64.wav,4
sentence,Harry paid dearly for his moment of fun.,sentence_80.wav,4
sentence,"This is a decrease from the year before, when it was forty percent.",sentence_87.wav,4
sentence,A blinding sunlight drowned all this at times in a sudden recrudescence of glare.,sentence_199.wav,4
sentence,This would have to be determined on a case by case basis.,sentence_88.wav,4
sentence,She was already wearing a salmon-pink cocktail dress.,sentence_91.wav,4
sentence,"But from the way the light was coming through the windows, it seemed to be almost noon.",sentence_106.wav,4
sentence,I hope that you will be able to attend that event.,sentence_63.wav,4
sentence,I'm two years into an undergraduate degree.,sentence_33.wav,4
sentence,It's a special kind.,sentence_104.wav,4
nonword,lafeing clist ank smec boncy og u gnuth las tinores u udd,nonword_15.wav,4
sentence,They are sick of the partisanship and nonsense and the total lack of substance in modern campaigns.,sentence_196.wav,4
sentence,"I went on along Fleet Street, but could not shake off the idea.",sentence_159.wav,4
sentence,He just rescheduled to Wednesday.,sentence_136.wav,4
sentence,"It passes the time, I guess.",sentence_99.wav,4
sentence,I'll be in town through Sunday morning.,sentence_188.wav,4
sentence,The first part is called Legato and the second part was called Staccato.,sentence_150.wav,4
sentence,Pages that connect to a common data source can share a single connection file.,sentence_162.wav,4
sentence,Our exploratory study included three basic steps.,sentence_59.wav,4
sentence,He only pretended to be.,sentence_127.wav,4
sentence,"That's not what we need in our country, folks.",sentence_109.wav,4
nonword,orlan clerf cre fo deconds gwoyed porla u cre ucong fowned anc,nonword_11.wav,4
sentence,"The weekend was perfect in every way, in large part to Sue and her great staff.",sentence_179.wav,4
sentence,"Staff is super friendly, treat you as a friend.",sentence_195.wav,4
sentence,That makes it much easier to find places than in cities where streets go every which way.,sentence_121.wav,4
sentence,"Ounces measure weight, pints measure volume.",sentence_94.wav,4
sentence,"Unfortunately, rapid population growth and urban sprawl has covered much of these ecosystems with development.",sentence_10.wav,4
sentence,Driving into the city centre itself is something to avoid.,sentence_197.wav,4
sentence,He was a blond-haired boy of five or six.,sentence_138.wav,4
sentence,He worked for a shipping company and had done so since he was fifteen.,sentence_61.wav,4
sentence,"Meanwhile, the estranged wife of a government whip has launched her campaign to take the seat.",sentence_177.wav,4
sentence,you'll be more or less settled by the time she arrives.,sentence_38.wav,4
nonword,cre twuped ner zook las im tebing cre pition cre gaif ub,nonword_8.wav,4
sentence,I cannot comment directly on how the Indian government was prepared for this cyclone.,sentence_65.wav,4
sentence,It's okay if it's a little pricier.,sentence_34.wav,4
sentence,I reserve my right to come back on this when it goes back to committee.,sentence_19.wav,4
sentence,There are two other points I would like to address.,sentence_143.wav,4
sentence,The hymn was well received and the audience demanded an encore.,sentence_13.wav,4
sentence,The proposal put forward by the Commission is to be welcomed from the consumers' point of view.,sentence_198.wav,4
sentence,"It's opened up a new fan base, so to speak.",sentence_16.wav,4
sentence,"If so, I will handle it.",sentence_40.wav,4
sentence,It means they've gone too far.,sentence_115.wav,4
sentence,The spokesman did not rule out the possibility that others would also be investigated.,sentence_74.wav,4
sentence_repeat,"The next day, no one could find my wheel lock and that particular technician was not in.",sentence_5.wav,4
sentence_repeat,These products should be available at your local gardening or home improvement center.,sentence_98.wav,4
